filename,bib_numbers,notes
_5D_0293.JPG,1197;5197,bibs visible on both foreground and background runners
_5D_0294.JPG,1197,visible on main subject's shorts
_5D_0295.JPG,1197,main subject
_5D_0296.JPG,1197,
_5D_0298.JPG,1056;1665,background runner bib partially visible
_5D_0300.JPG,1065,legible bib on chest of main runner
_5D_0301.JPG,1068;1161,
_5D_0309.JPG,1161,
_5D_0311.JPG,1161,main bib on central figure's chest
_5D_0312.JPG,1161,bib prominently displayed on chest
_5D_0313.JPG,1182,bib visible on lower body
_5D_0314.JPG,1182,visible bib on shorts
_5D_0316.JPG,1182,on runner's waistband
_5D_0320.JPG,596;709,two legible bibs in mid-distance group
_5D_0321.JPG,1169;576;580,main subject bib and two more legible in distant running group
_5D_0322.JPG,1169,Only bib in foreground is legible; others in background are indistinct
_5D_0326.JPG,1099;1145,two clear bibs visible on foreground and mid-ground runners
_5D_0331.JPG,1024,
_5D_0333.JPG,1097,bib visible on torso
_5D_0337.JPG,1015,bib visible on front chest
_5D_0338.JPG,1015;2679,primary bib visible on chest
_5D_0339.JPG,1015,on t-shirt chest area
_5D_0341.JPG,1162,Bib pinned to chest area
_5D_0346.JPG,none,No numbered race bib is visible on the main person
_5D_0347.JPG,1696,race bib on lower waist
_5D_0348.JPG,none,No numbered race bibs are visible on any person in the frame
_5D_0352.JPG,1156,rectangular tag on lower front of shirt
_5D_0354.JPG,118,primary runner
_5D_0355.JPG,1118,
_5D_0356.JPG,118,bib visible on foreground subject's lower torso
_5D_0357.JPG,1072,bib visible on shorts
_5D_0363.JPG,1109;1122,foreground and midground runners
_5D_0365.JPG,1083,single legible bib visible on foreground runner
_5D_0367.JPG,1093;1014,Two legible runner bibs on primary subjects
_5D_0369.JPG,1004,legible primary bib on runner's chest
_5D_0370.JPG,1166,single legible bib on runner's chest
_5D_0375.JPG,113,visible on front of shirt
_5D_0376.JPG,1102;1127;1042,all visible bibs are chest mounted
_5D_0377.JPG,1188;1184,Visible on chest area of main subjects
_5D_0379.JPG,1188;1184,both bibs appear to be worn on the front
_5D_0380.JPG,1184,bib visible on main runner's chest
_5D_0388.JPG,22;2081,
_5D_0392.JPG,1007;1171;1107,
_5D_0396.JPG,582;463;590,Numbers are clearly visible across the line-up
_5D_0402.JPG,none,racers too distant to read bib numbers
_5D_0405.JPG,none,runners visible beneath elevated structure
_5D_0411.JPG,none,no clearly visible race bibs are present
_5D_0413.JPG,1154;1176,
_5D_0415.JPG,1142,prominent foreground racer
_5D_0420.JPG,1092,main subject bib visible on chest
_5D_0421.JPG,104,main athlete's front bib visible
_5D_0423.JPG,none,no legible race bib numbers visible on participants
_5D_0425.JPG,1161,large bib in foreground
_5D_0426.JPG,1164,single legible bib on runner in immediate foreground
_5D_0428.JPG,523;481;560,main runners' bibs visible in foreground
_5D_0429.JPG,103;486,two visible on foreground racers
_5D_0432.JPG,1037,single bib visible on foreground runner
_5D_0434.JPG,1139;217,bib numbers found on multiple runners throughout the frame
_5D_0437.JPG,1113,primary bib clearly visible on center runner
_5D_0439.JPG,308;241;987,Bibs visible on three individuals in the main group
_5D_0442.JPG,509;518;312,Visible bibs belonging to runners clustered mid-ground
_5D_0443.JPG,none,no legible race bibs visible
_5D_0444.JPG,2304;598;604,three legible bib numbers visible in the foreground runner group
_5D_0445.JPG,5114,single legible bib number among several runners
_5D_0447.JPG,1154;608,bibs clearly visible on front-running participants
_5D_0448.JPG,201;534;312,"Visible on runners in the left, center, and right midground"
_5D_0455.JPG,none,no visible numbered race bibs on participants
_5D_0458.JPG,none,
_5D_0461.JPG,none,no visible race bib numbers on any person
_5D_0465.JPG,none,no legible race bib numbers visible on participants
_5D_0467.JPG,none,"multiple participants, but no discernible race bib numbers visible"
_5D_0468.JPG,476,central cyclist bib visible
_5D_0470.JPG,none,"race appears to be running and cycling; no clear, readable numbered race bibs are visible on any participant"
_5D_0473.JPG,32;14;70;69;106;16;85;64,multiple bibs visible across several riders in the foreground and middle ground
_5D_0474.JPG,206,visible on lead rider's waist
_5D_0475.JPG,none,participants appear to have sponsor logos or jersey prints rather than discrete numbered race bibs
_5D_0478.JPG,24,Only one clear bib number visible on foreground runner
_5D_0479.JPG,none,"cyclists are wearing team kits or performance wear, no numbered race bib is visible"
_5D_0480.JPG,none,no legible bib number is visible on any cyclist
_5D_0481.JPG,none,"cyclists and runners present, but no clear, legible race bib numbers are visible"
_5D_0484.JPG,380;490,primary bibs visible on two foreground cyclists
_5D_0487.JPG,none,no legible race bib visible
_5D_0490.JPG,none,"cyclists in team kits, no pinned bib visible"
_5D_0492.JPG,442,
_5D_0493.JPG,442,bib printed directly on chest area
_5D_0494.JPG,none,"all participants are wearing race kits, but no individual numbered bibs are clearly visible or legible"
_5D_0495.JPG,none,"cyclists in kit form, no discernible race bib numbers are visible"
_5D_0499.JPG,407,Cyclist's race number clearly visible on the front of the yellow kit
_5D_0502.JPG,485;483,Two legible bib numbers on cyclists in the foreground
_5D_0504.JPG,none,no legible numbered race bibs visible
_5D_0507.JPG,26,race bib printed on jersey of foremost cyclist
_5D_0510.JPG,none,"No clear, numbered race bibs visible on participants"
_5D_0514.JPG,none,no clearly visible race bibs pinned to any participant
_5D_0518.JPG,none,no clearly legible race bib numbers visible
_5D_0521.JPG,none,no clear pinned bib numbers visible
_5D_0526.JPG,none,no clearly legible numbered race bibs are visible on any person in the frame
_5D_0527.JPG,none,no legible race bibs visible on participants
_5D_0528.JPG,280;260;240;320,Four distinct bibs visible on various cyclists
_5D_0529.JPG,none,no legible pinned race bibs visible
_5D_0535.JPG,290,single legible bib on cyclist in dark kit
_5D_0537.JPG,none,"racers are wearing kits with potential numbers printed directly onto the material, but no distinct pinned bib cards are visible"
_5D_0538.JPG,none,participants are wearing team kits with no visible race bib numbers
_5D_0539.JPG,none,no legible race bibs visible
_5D_0540.JPG,none,"No distinct, readable numbered race bibs are visible on any participant in the frame"
_5D_0543.JPG,none,"no legible, clear bib numbers are visible on the riders"
_5D_0544.JPG,none,"no clear, numbered race bib is visible on any participant"
_5D_0547.JPG,none,no clearly visible numbered race bibs on any participant
_5D_0550.JPG,none,no legible race bibs visible on any person in focus
_5D_0551.JPG,none,"cyclists in team/sponsor kits, no pinned race numbers visible"
_5D_0553.JPG,none,no legible bib numbers visible on any participant
_5D_0554.JPG,210,bib visible on leading cyclist
_5D_0557.JPG,none,no clear numbered race bibs visible
_5D_0558.JPG,none,no clearly legible race bib numbers are visible on any participant
_5D_0559.JPG,none,no legible race bib numbers visible on any subject
_5D_0560.JPG,42,legible race bib on cyclist in mid-right
_5D_0561.JPG,348;572,bibs visible on two central cyclists
_5D_0562.JPG,none,no visible race bib numbers on any person in the frame
_5D_0567.JPG,none,cyclists in uniform race kits with no clear individual bib numbers visible
_5D_0575.JPG,324,only one clearly legible bib visible
_5D_0576.JPG,none,no clear pinned bib tags visible on foreground participants
_5D_0577.JPG,none,"all observable participants are wearing jerseys, and no clearly numbered race bibs are visible or readable"
_5D_0578.JPG,none,"riders in uniform race kits, no visible bib numbers"
_5D_0584.JPG,none,cyclists appear to be wearing sponsored/team jerseys with no clear race bib visible
_5D_0587.JPG,none,"visible riders are wearing team kit designs, no standard race bib number visible"
_5D_0589.JPG,260;68;29,bibs are visible on three separate riders in different groups
_5D_0593.JPG,none,no legible numbered bibs visible in the frame
_5D_0594.JPG,none,"no visible numbered race bibs, participants are in kit jerseys"
_5D_0598.JPG,none,"subject is a spectator/child, no race bib visible"
_5D_0599.JPG,none,no legible race bib numbers visible on any participant
_5D_0602.JPG,41,one clearly legible race bib on the central cyclist
_5D_0604.JPG,none,No discernible race bib numbers are visible
_5D_0606.JPG,350,bib visible on cyclist in red and white jersey
_5D_0607.JPG,none,no legible race bib numbers are visible on any participant
_5D_0612.JPG,none,no legible numbered race bibs visible
_5D_0615.JPG,none,no visible race numbers or bibs (only sponsors printed on jerseys)
_5D_0618.JPG,none,"cyclists wearing integrated kit numbers, but no separate race bib is visible"
_5D_0619.JPG,none,no distinct pinned race bibs visible
_5D_0621.JPG,237,primary bib visible on lead cyclist
_5D_0622.JPG,352;217;385;172,multiple numbered race bibs visible on several cyclists
_5D_0623.JPG,none,no clear numbered bibs visible on any cyclist
_5D_0624.JPG,none,no legible race bib numbers are visible
_5D_0631.JPG,none,no discernible race bibs are visible
_5D_0632.JPG,37;39;41,three legible bib numbers from the central cycling group
_5D_0633.JPG,36,many bibs are partially obscured or illegible due to distance/angle
_5D_0634.JPG,362;406,multiple riders visible in a pack
_5D_0638.JPG,none,no legible race bib numbers visible
_5D_0640.JPG,none,"all riders appear to be wearing club or team kits; no large, distinct race bib numbers are visible"
_5D_0641.JPG,none,visible numbers are heavily obscured or difficult to confirm
_5D_0644.JPG,none,"cyclists appear to be racing, but no pinned or printed race bib is visible on any person"
_5D_0648.JPG,none,bibs are not legible due to distance and motion blur
_5D_0649.JPG,none,no clearly visible and legible race bib numbers
_5D_0650.JPG,none,no legible numbered bibs visible
_5D_0652.JPG,none,no clearly legible race bib numbers visible
_5D_0655.JPG,none,no visible numbered race bibs on any cyclist
_5D_0657.JPG,none,"racing jerseys display sponsor logos and colors, no distinct race bib numbers are visible"
_5D_0659.JPG,214,legible number printed directly on the front jersey
_5D_0661.JPG,none,no visible numbered race bibs attached to any participant
_5D_0665.JPG,none,"no clearly visible, large pinned race bibs are present"
_5D_0666.JPG,none,no legible race bibs visible on any person
_5D_0668.JPG,none,"group consists mostly of parked vehicles and people, no discernible race bibs visible"
_5D_0669.JPG,none,race participants too distant or obscured to read any bibs
_5D_0674.JPG,none,"cyclists appear to be wearing jersey numbers, but they are not visible as traditional pinned or printed race bib cards"
_5D_0678.JPG,none,"multiple cyclists, but no distinct pinned race bib numbers are visible"
_5D_0679.JPG,none,no legible race numbers visible on participants
_5D_0684.JPG,none,no legible bib numbers visible on any person
_5D_0685.JPG,none,No legible race bibs visible on either participant
_5D_0686.JPG,none,"multiple athletes in team kits, no visible numbered bibs"
_5D_0688.JPG,none,no clearly legible race bib number visible on any athlete
_5D_0692.JPG,60,bibs appear on several racers in the group foreground
_5D_0693.JPG,60;306,Multiple bibs are obscured or illegible due to crowd density and distance
_5D_0694.JPG,none,density of riders makes individual numbered race bib identification impossible
_5D_0695.JPG,none,multiple racers present but no specific legible bib number is visible
_5D_0696.JPG,162,clearest bib visible on cyclist in foreground right
_5D_0697.JPG,none,no clearly legible pinned bib numbers are visible on the participants
_5D_0698.JPG,50;98;51;40;25;94,several bibs visible on cyclists in the moving pack
_5D_0700.JPG,34,most bibs are obscured or illegible due to distance/crowding
_5D_0706.JPG,none,no legible race bibs are visible
_5D_0711.JPG,none,no legible bibs visible on any participant
_5D_0712.JPG,405,"main cyclist, printed on jersey chest area"
_5D_0713.JPG,none,no clear racing bibs visible
_5D_0714.JPG,none,riders wearing team kits with numbers printed on them
_5D_0716.JPG,none,"cyclists in team kits, no pinned bib visible"
_5D_0722.JPG,none,no legible race bib numbers visible on any participants
_5D_0724.JPG,none,no discernible numbered bibs visible
_5D_0728.JPG,6,bib visible on athlete on the right
_5D_0734.JPG,none,three male cyclists standing on a podium stage
_5D_0743.JPG,none,no legible racing bib numbers visible
_5D_0746.JPG,258;241,bibs are clearly displayed on the torso
_5D_0759.JPG,none,"cyclists are wearing team/sponsor jerseys, no standard pinned race bib numbers visible"
_5D_0761.JPG,none,"cyclist wearing club/team kit, no race bib visible"
_5D_0763.JPG,none,"cyclists and runners with sponsor kits, no legible race numbers visible"
_5D_0764.JPG,none,no visible numbered race bibs on participants
_5D_0771.JPG,none,no discernible bibs visible on participants
_5D_0776.JPG,none,cyclists wearing team kits with no clear attached race bib visible
_5D_0778.JPG,none,"no distinct, numbered race bibs are visible on any person"
_5D_0780.JPG,128,bib visible on man in blue shirt
_5D_0781.JPG,none,no discernible bib numbers found
_5D_0782.JPG,none,no visible race bib numbers on participants
_5D_0784.JPG,none,no clear race bib visible on participants
_5D_0787.JPG,453,only one clear bib visible on the cyclist in red
_5D_0788.JPG,none,no discernible legible race bib numbers visible
_5D_0795.JPG,none,no legible race bibs visible
_5D_0796.JPG,none,cyclists wearing sponsor kits; no distinct numbered race bib is visible
_5D_0797.JPG,63,main leader's bib
_5D_0798.JPG,52;369;518,bibs are clearly visible on the leading cyclists
_5D_0800.JPG,none,no distinct race bib numbers are visible on participants
_5D_0804.JPG,none,no discernible race bibs visible on athletes
_5D_0809.JPG,508,main cyclist in black jersey
_5D_0811.JPG,none,no clearly legible numbered race bibs visible on participants
_5D_0812.JPG,201;206;204,Three prominent bibs visible on foreground riders
_5D_0813.JPG,217;408;406;592;590,five distinct numbered race bibs are clearly visible on the leading cyclists
_5D_0816.JPG,501,bib on the central running participant
_5D_0817.JPG,none,no legible race bib numbers visible
_5D_0819.JPG,none,no clear race bib numbers visible on the participating cyclists
_5D_0821.JPG,none,"race participation shown by kits and location, but no discernible bib numbers are visible on any cyclist"
_5D_0823.JPG,3;506;490,The number 506 is visible on at least two distinct riders in the mid-ground area
_5D_0824.JPG,none,no legible race bib numbers visible on foreground riders
_5D_0825.JPG,none,
_5D_0827.JPG,none,no discernible race bib numbers visible on participants
_5D_0832.JPG,26;28,cyclist in center foreground has no visible race number
_5D_0834.JPG,none,"most riders have identification text printed on their jerseys, not attached numerical bibs"
_5D_0836.JPG,45,bib visible on the central cyclist in foreground
_5D_0840.JPG,149,primary bib visible on main subject
_5D_0842.JPG,852,
_5D_0844.JPG,none,No distinct pinned or printed race bib numbers are visible on any participant
_5D_0846.JPG,none,no clearly visible race bib numbers on any subject
_5D_0847.JPG,none,no visible pinned or printed race bibs on any person in the frame
_5D_0850.JPG,852,
_5D_0852.JPG,506,central figure's race number is clearly displayed
_5D_0855.JPG,none,no visible numbered racing bibs
_5D_0857.JPG,none,no legible race bib numbers are visible
_5D_0862.JPG,254,
_5D_0864.JPG,852,prominent front bib on main cyclist
_5D_0867.JPG,14;735,bibs visible on two prominent foreground cyclists
_5D_0870.JPG,852,bib printed on jersey
_5D_0872.JPG,64;65,Two clearest bib numbers located near the front group on the right side
_5D_0874.JPG,498;427,bib visible on multiple participants
_5D_0876.JPG,none,"all visible numbers are part of team kits, not separate pinned race bibs"
_5D_0877.JPG,none,no discernible race bib numbers visible on participants
_5D_0879.JPG,none,no legible numbered race bibs visible on any participant
_5D_0883.JPG,29;4,two visible chest/front numbers
_5D_0891.JPG,none,no pinned bib visible on any person
_5D_0892.JPG,none,"main subject in sponsored cycling kit, no race bib visible"
_5D_0893.JPG,152,clearest bib number visible on second cyclist from foreground
_5D_0894.JPG,none,"cyclists wearing team or event kits, no pinned numbered bib visible"
_5D_0895.JPG,11,Number appears printed on the jersey chest area
_5D_0898.JPG,852,printed on jersey chest
_5D_0902.JPG,401,bib visible on far right cyclist
_5D_0906.JPG,none,No race bibs are visible on any person in the frame
_5D_0910.JPG,none,no pinned or external race bib is visible
_5D_0912.JPG,852,legible bib visible on central cyclist
_5D_0913.JPG,859;852,one bib is partially obscured/cropped on the left
_5D_0914.JPG,852;639,bibs printed on jerseys
_5D_0916.JPG,406,prominent race bib on white/black kit cyclist
_5D_0919.JPG,none,no legible race bibs found on participants
_5D_0921.JPG,60,Numbers are painted/printed on the kit rather than attached as a separate bib
_5D_0923.JPG,none,visible numbers are on team jerseys/logos only
_5D_0932.JPG,none,cyclists are wearing team kits; no numbered race bib is visible on any person.
_5D_0934.JPG,none,No legible numbered bib is visible on the main subject
_5D_0935.JPG,103,printed on jersey
_5D_0936.JPG,none,no clearly visible race bib numbers
_5D_0937.JPG,none,no clearly legible numbered race bibs are visible anywhere on the participants
_5D_0938.JPG,534,single clear bib visible in foreground left
_5D_0941.JPG,381;427;490,Bib numbers clearly visible on three racers in the main group
_5D_0942.JPG,none,bib numbers are mostly obscured by kits or distance
_5D_0943.JPG,430;608;592;105;437;312;306;584;396,multiple visible bib numbers on racers from left to right
_5D_0944.JPG,4209,only one clear and legible bib visible on the main subject cyclist
_5D_0949.JPG,360;463;412;450,
_5D_0950.JPG,260;400,two distinct bibs visible on separate cyclists
_5D_0951.JPG,13;75,Numbers are visible on two of three young cyclists in the foreground
_5D_0953.JPG,none,no visible numbered race bibs on participants
_5D_0955.JPG,154,only one clearly legible bib in the main group; others are obscured or blurry
_5D_0959.JPG,none,no legible numbered bibs are visible on any participant
_5D_0961.JPG,none,no legible race bib numbers are visible
_5D_0963.JPG,none,"athletic gear worn by all participants, no specific numbered race bib visible"
_5D_0964.JPG,none,no legible race bib numbers visible on any participant
_5D_0965.JPG,none,"racing participants visible, but no legible race bib numbers found"
_5D_0966.JPG,none,no visible numbered race bibs on any participant
_5D_0967.JPG,none,no discernible numbered race bibs on participants
_5D_0969.JPG,none,riders' kit numbering is part of their jersey/shorts design
_5D_0971.JPG,none,No legible bib numbers are visible on any person in the frame.
_5D_0974.JPG,none,no legible race bib numbers are visible on any person
_5D_0977.JPG,none,no legible race bib numbers visible on any person in frame
_5D_0978.JPG,none,no clear race bibs are visible on any person
_5D_0980.JPG,none,no legible race bib numbers visible on any participant
_5D_0982.JPG,none,no legible numbered race bibs visible
_5D_0985.JPG,none,no discernible numbered race bib is visible on any participant
_5D_0986.JPG,none,no legible race bib number visible
_5D_0990.JPG,none,main subject is cycling/BMX style; background participants do not display legible numbered race bibs
_5D_0996.JPG,50,main bib clearly visible on foreground cyclist
_5D_0997.JPG,217,front cyclist's main bib partially obscured
_5D_0998.JPG,43;360;38,three distinct bibs visible at different levels in the frame
_5D_1002.JPG,none,no discernible race bibs visible anywhere in the frame
_5D_1006.JPG,none,"foreground athletes wearing full race kits, no numbered bibs visible"
_5D_1007.JPG,34;54,two legible bibs on lead cyclists
_5D_1015.JPG,23,primary bib clearly visible on central runner
_5D_1018.JPG,none,no legible race bib numbers visible on athletes
_5D_1021.JPG,none,no visible legible race bibs on participants
_5D_1025.JPG,none,no visible numbered race bibs on participants
_5D_1029.JPG,none,no legible race bib numbers visible on any participant
_5D_1030.JPG,none,no legible race bib numbers are visible
_5D_1034.JPG,none,no clearly visible pinned race bibs
_5D_1039.JPG,none,no legible race bib numbers visible on participants
_5D_1041.JPG,none,no legible numbered race bib is visible
_5D_1047.JPG,none,no visible race bib numbers on competitors
_5D_1049.JPG,none,no clearly visible numbered race bibs on any participant
_5D_1050.JPG,none,"multiple participants present, but no individual race bibs are clearly visible or legible"
_5D_1056.JPG,none,no legible numbered bib visible
_5D_1057.JPG,none,no clearly legible race bib numbers visible
_5D_1058.JPG,none,no discernible numbered bibs visible
_5D_1063.JPG,none,"Participants are wearing team kit jerseys or uniform shirts, no visible pinned bib numbers"
_5D_1065.JPG,none,"no clear, numbered bib tags visible"
_5D_1069.JPG,none,no legible race bib numbers visible on participants
_5D_1071.JPG,none,no clear race bib numbers are legible on any participant
_5D_1077.JPG,none,"no clear, readable bib numbers visible on any runner"
_5D_1083.JPG,none,no clearly legible numbered race bibs visible on runners
_5D_1085.JPG,none,no visible legible numbered race bibs on participants
_5D_1089.JPG,none,no legible numbered race bibs visible on any runner
_5D_1092.JPG,none,no legible race bib numbers are visible on any participant
_5D_1094.JPG,none,"no clear, legible race bib visible on any runner"
_5D_1096.JPG,none,no legible numbered bib visible on any runner
_5D_1097.JPG,none,
_5D_1104.JPG,243;208,two visible race bibs on central runners
_5D_1105.JPG,none,no distinct numbered race bib is visible
_5D_1106.JPG,none,no discernible legible race bib numbers visible on any runner
_5D_1107.JPG,none,no legible race bib numbers are visible
_5D_1109.JPG,214,bib visible on participant in foreground right
_5D_1111.JPG,none,No visible numbered race bibs on any participant.
_5D_1116.JPG,none,no discernible numbered race bibs visible
_5D_1117.JPG,none,no legible race bib numbers visible on any participant
_5D_1119.JPG,none,no discernible pinned bibs visible (names printed on jerseys)
_5D_1122.JPG,none,no legible bibs are visible on any runner
_5D_1124.JPG,none,no visible numbered race bibs on participants
_5D_1125.JPG,none,"runners wearing event jerseys, no distinct numbered bib is visible"
_5D_1126.JPG,none,participants are wearing sponsored apparel rather than numbered race bibs
_5D_1128.JPG,none,no legible numbered bibs visible on participants
_5D_1130.JPG,10,Only primary runner's bib is clearly visible and legible
_5D_1131.JPG,none,"no clear, large numbered bibs visible anywhere in the frame"
_5D_1132.JPG,none,no legible race bib numbers visible
